label,label_type,url
social work,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/social-work-scholarships/
psychology,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/psychology-scholarships/
nursing,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/nursing-scholarships//
math,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/math-scholarships/
history,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/
english,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/english-scholarships/
computer science,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/
communications,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/communications-scholarships/
business,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/business-scholarships/
biology,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/biology-scholarships/
anthropology,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/anthropology-scholarships/
accounting,major,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/accounting-scholarships/
